Module	Association	Set.size	Enrichmemnt.score	Normalized.enrichment.score	nominal.p.val	FDR.q.val	FWER.p.val
ETF1.MOD	Responder samples	78	0.22357655	0.65266377	0.77103716	1	1
RBL2.MOD	Responder samples	78	0.22278172	0.64461786	0.7817048	1	1
CCNT2.MOD	Responder samples	81	0.15659414	0.6006523	0.95437264	1	1
TAF2.MOD	Responder samples	84	0.20603459	0.598584	0.8596112	1	1
HAT1.MOD	Responder samples	79	0.1747222	0.58241796	0.88293654	1	1
MORF4L2.MOD	Responder samples	79	0.16137788	0.5428357	0.94855964	1	1
MTA1.MOD	Responder samples	89	0.17241806	0.53654027	0.89451474	1	1
CD5.MOD	Responder samples	54	0.24681401	0.5251687	0.8923395	1	1
TAF9.MOD	Responder samples	90	0.22063686	0.5013825	0.84842104	1	1
PATZ1.MOD	Responder samples	77	0.1718073	0.48717627	0.9147609	1	1
ELF4.MOD	Responder samples	87	0.20477208	0.44743603	0.91541356	1	1
CD14.MOD	Responder samples	87	0.1715917	0.40940243	0.956	1	1
EED.MOD	Responder samples	83	0.16988713	0.40797263	0.9434783	1	1
FOXJ2.MOD	Responder samples	84	0.15602763	0.40104958	0.9639469	1	1
CD4.MOD	Responder samples	91	0.15064453	0.38024327	0.9855967	1	1
KLF1.MOD	Responder samples	82	0.19615322	0.3491273	0.9752852	1	1
MEF2A.MOD	Responder samples	78	0.10685005	0.3295559	1	1	1
HIF1A.MOD	Responder samples	75	0.11793243	0.30689275	0.99811673	0.9924897	1
WHSC1L1.MOD	Control samples	80	-0.38980722	-1.40078	0.12291667	1	0.816
PHF1.MOD	Control samples	75	-0.4018897	-1.3931054	0.14591439	1	0.825
PNN.MOD	Control samples	67	-0.42048082	-1.3876643	0.14889336	1	0.831
FUS.MOD	Control samples	63	-0.36059693	-1.1985524	0.26680243	1	0.974
CD19.MOD	Control samples	80	-0.53418523	-1.1913626	0.3666027	1	0.976
FOS.MOD	Control samples	72	-0.41387382	-1.0082244	0.52991456	1	0.998
NCOA3.MOD	Control samples	79	-0.4139945	-0.9791984	0.50676984	1	0.999
PBX2.MOD	Control samples	91	-0.48619968	-0.9261355	0.6344086	1	1
NAB1.MOD	Control samples	86	-0.4616086	-0.9002118	0.6353712	1	1
SMARCC1.MOD	Control samples	77	-0.23725864	-0.8824332	0.5943205	1	1
SP1.MOD	Control samples	94	-0.44963685	-0.8675138	0.6630197	1	1
THBD.MOD	Control samples	88	-0.45752874	-0.85620785	0.6673913	1	1
FOXO3.MOD	Control samples	87	-0.4307639	-0.85175407	0.6594828	1	1
CBX1.MOD	Control samples	82	-0.418364	-0.8433821	0.6601732	1	1
STAT3.MOD	Control samples	91	-0.43420172	-0.83084166	0.6752688	1	1
JUNB.MOD	Control samples	85	-0.40042794	-0.8124598	0.6788793	1	1
STAT6.MOD	Control samples	88	-0.40254018	-0.7993459	0.70474136	1	1
BAZ1A.MOD	Control samples	88	-0.38419846	-0.78859884	0.6903226	1	1
IRF8.MOD	Control samples	86	-0.3160561	-0.77296275	0.6731141	1	1
PKNOX1.MOD	Control samples	72	-0.34721068	-0.75874317	0.6919918	1	1
STAT5B.MOD	Control samples	81	-0.38712	-0.7296102	0.7431579	1	1
BTAF1.MOD	Control samples	74	-0.20243259	-0.7193374	0.7779886	1	1
FLI1.MOD	Control samples	95	-0.32067767	-0.713475	0.7467533	1	1
HBP1.MOD	Control samples	87	-0.2677946	-0.6970364	0.7228145	1	1
SKIL.MOD	Control samples	56	-0.17999277	-0.68731433	0.9102296	1	1
CTLA4.MOD	Control samples	75	-0.27793422	-0.6825869	0.8109162	1	1
CXCR1.MOD	Control samples	86	-0.36336604	-0.6730482	0.7815126	1	1
FOXP3.MOD	Control samples	69	-0.26634502	-0.6687795	0.8053435	1	1
CHD3.MOD	Control samples	76	-0.25521103	-0.66405153	0.7883495	1	1
ITGB3.MOD	Control samples	81	-0.3438007	-0.6534037	0.7780172	1	1
CBX5.MOD	Control samples	79	-0.22350346	-0.64874953	0.80414313	1	1
CD28.MOD	Control samples	69	-0.24565355	-0.55798405	0.8927875	1	1
TCF7.MOD	Control samples	70	-0.24277316	-0.557813	0.875	1	1
CD33.MOD	Control samples	94	-0.25095943	-0.55738455	0.80638725	1	1
SMAD3.MOD	Control samples	88	-0.19079779	-0.5291796	0.90654206	1	1
IL2RA.MOD	Control samples	82	-0.20012955	-0.52190506	0.9541109	1	1
HDAC4.MOD	Control samples	92	-0.23447949	-0.5103223	0.84309626	0.98536426	1
ETS2.MOD	Control samples	87	-0.19939412	-0.48460564	0.8898129	0.97648174	1
ZBTB7B.MOD	Control samples	92	-0.23802228	-0.47787744	0.8720682	0.95512253	1
FUBP1.MOD	Control samples	80	-0.13342842	-0.42839643	0.99613154	0.957522	1
