row.names.cor.mat.	AUC
C16ORF50	C16ORF50	0.793161839096812
VIP	VIP	0.792565447724951
GZMA	GZMA	0.79180097090977
LOC652906	LOC652906	0.791652837513573
LOC645789	LOC645789	0.790663331136743
HS.146741	HS.146741	0.789260821540234
KCNQ4	KCNQ4	0.788968495176926
LYAR	LYAR	0.788382834752127
QRICH2	QRICH2	0.788281044205637
LOC100134676	LOC100134676	0.788106544370851
MIR490	MIR490	0.786659643710198
TGFBR3	TGFBR3	0.786555304179908
LOC652002	LOC652002	0.785304596334786
PIGF	PIGF	0.785213550877637
LIPL3	LIPL3	0.784836302956536
HS.491292	HS.491292	0.784178475117537
C5ORF23	C5ORF23	0.784152913201536
LOC100129916	LOC100129916	0.781672209465796
IL20	IL20	0.781637530328533
LOC646470	LOC646470	0.780842464231013
LOC100133173	LOC100133173	0.780203329813959
LOC642425	LOC642425	0.779769308235079
HS.191602	HS.191602	0.778589734690796
HS.581769	HS.581769	0.778014588271816
LOC643677	LOC643677	0.777021986963013
LOC642338	LOC642338	0.77679649349097
KRTAP3.1	KRTAP3.1	0.776406766265978
LOC728493	LOC728493	0.77520693272554
LOC400388	LOC400388	0.775110712542562
MCOLN2	MCOLN2	0.774687634842497
MIR1274B	MIR1274B	0.774420923534036
LOC651741	LOC651741	0.773945963836555
OTOL1	OTOL1	0.773517075671509
HS.539153	HS.539153	0.772891864480686
SPON1	SPON1	0.772016415599944
FBXW5	FBXW5	0.771961087268247
LOC644782	LOC644782	0.770562660630237
TOX	TOX	0.770524438215845
FLJ44006	FLJ44006	0.770072530784398
LOC100132782	LOC100132782	0.768757750897848
LOC649903	LOC649903	0.768345248841513
PTF1A	PTF1A	0.768291123036922
ZNF213	ZNF213	0.768288124266329
EIF3IP1	EIF3IP1	0.768223018376659
C22ORF26	C22ORF26	0.767905699665164
CD160	CD160	0.767651271923544
OR11H12	OR11H12	0.764717217569895
KIAA1826	KIAA1826	0.764281201003696
STAG2	STAG2	0.763205248508833
C7ORF70	C7ORF70	0.76202933673772
SNORA9	SNORA9	0.761975106703214
MIR567	MIR567	0.761889763888128
MIR648	MIR648	0.760973518103674
LOC100129162	LOC100129162	0.760677530787191
LOC650013	LOC650013	0.760495141537136
SMAD3	SMAD3	0.760322745655259
FAM90A10	FAM90A10	0.759630749021381
GTF2A1L	GTF2A1L	0.758799728080549
TRIM71	TRIM71	0.757714881715337
LOC645944	LOC645944	0.756162500185787
KRTAP10.12	KRTAP10.12	0.755883840076745
LOC732343	LOC732343	0.755740979445898
LOC729724	LOC729724	0.755718772276639
MANEAL	MANEAL	0.755633737941688
MFSD6	MFSD6	0.755467912326707
RASA1	RASA1	0.755032053156656
FLJ27365	FLJ27365	0.754406753345925
GPR107	GPR107	0.753750511370667
TEDDM1	TEDDM1	0.752196148082397
LOC100134774	LOC100134774	0.750869920763289
LOC642426	LOC642426	0.750444090381276
HS.565189	HS.565189	0.749384315207786
ANRIL	ANRIL	0.749305692523645
HS.522635	HS.522635	0.749140833542391
HS.559709	HS.559709	0.748832913954579
LOC652164	LOC652164	0.748813540841103
LOC652747	LOC652747	0.748590142396006
MED16	MED16	0.74728422949352
KLRG1	KLRG1	0.747268911475512
SMAD6	SMAD6	0.746553276082097
CCDC8	CCDC8	0.746052026230087
LOC653143	LOC653143	0.74567598833548
CRYBB3	CRYBB3	0.745414335357189
SPRR2F	SPRR2F	0.744496196713855
MIR302A	MIR302A	0.744173608827117
FLJ35409	FLJ35409	0.744159859374206
LOC254312	LOC254312	0.742929352312643
LOC100133283	LOC100133283	0.742907176693465
LOC653216	LOC653216	0.742439077620786
GTDC1	GTDC1	0.741853124723527
LOC648470	LOC648470	0.741661714538591
LOC653291	LOC653291	0.74153221227969
LOC145837	LOC145837	0.741098166375512
HS.554319	HS.554319	0.740670450345802
HS.564159	HS.564159	0.740619549775428
LOC730392	LOC730392	0.740571536017446
LOC643039	LOC643039	0.740289528043352
C12ORF66	C12ORF66	0.740034208741984
LOC439914	LOC439914	0.739407330110729
RYR2	RYR2	0.739338586721705
RAB11FIP2	RAB11FIP2	0.739139814256309
C3ORF41	C3ORF41	0.737646472728311
KCNK18	KCNK18	0.737597795069503
ASZ1	ASZ1	0.737463846165377
HS.161174	HS.161174	0.737295281510693
CHRNA4	CHRNA4	0.736766808708098
HS.577861	HS.577861	0.735819639401203
FLJ33590	FLJ33590	0.735733816158999
LOC648403	LOC648403	0.735429870001007
PRDM1	PRDM1	0.735393473793132
SYNE2	SYNE2	0.7341220258684
LOC641846	LOC641846	0.733723979777951
LOC100133845	LOC100133845	0.7332989983595
CSN1S2B	CSN1S2B	0.733218388707849
HS.143909	HS.143909	0.732880372423483
MLNR	MLNR	0.732732487224642
RPL10L	RPL10L	0.732542032168776
CCL15	CCL15	0.732334993139384
LOC653852	LOC653852	0.730242759800163
HS.539420	HS.539420	0.730000286293852
LOC642516	LOC642516	0.72938357501883
SNORD32A	SNORD32A	0.729164138431137
TCF19	TCF19	0.728766681086253
LOC440748	LOC440748	0.728575017109879
LOC100130111	LOC100130111	0.728433455556676
LOC653669	LOC653669	0.728400224933118
LOC647363	LOC647363	0.728383103605123
MIR587	MIR587	0.728290667022671
THAP6	THAP6	0.727936813198807
MIR504	MIR504	0.727759494211253
SPANXB2	SPANXB2	0.727684724716927
CLDND1	CLDND1	0.727237538691948
GZMH	GZMH	0.727143631467687
LOC644280	LOC644280	0.727121670218326
ARAP2	ARAP2	0.726834606741013
C14ORF72	C14ORF72	0.726749966916622
TMEM176A	TMEM176A	0.726417629938402
HS.575015	HS.575015	0.726020956591292
CNTD2	CNTD2	0.725692484552815
RAPGEF1	RAPGEF1	0.725411752849408
HS.541066	HS.541066	0.725211731692861
LOC646445	LOC646445	0.725134680953356
HS.570192	HS.570192	0.724762112243815
NOP16	NOP16	0.724430006038081
ELP2P	ELP2P	0.724004215657881
KIAA1370	KIAA1370	0.723872784649689
C5ORF36	C5ORF36	0.723598576346252
DAZ3	DAZ3	0.723422868026347
MIXL1	MIXL1	0.723056370837167
LOC644783	LOC644783	0.721997025180041
NRK	NRK	0.721904406726768
LOC642130	LOC642130	0.721568466912915
HS.174158	HS.174158	0.720770632771079
LOC147650	LOC147650	0.720480266719159
HS.126651	HS.126651	0.720370043083114
MAGEA1	MAGEA1	0.720276165744045
HS.576947	HS.576947	0.720252497161261
LOC441533	LOC441533	0.7200399836884
LOC100133545	LOC100133545	0.719932389380566
LOC650147	LOC650147	0.719881205016902
GPC5	GPC5	0.719685982420379
HS.44811	HS.44811	0.719132567764258
LOC645335	LOC645335	0.719075019744427
HS.543364	HS.543364	0.718896752976804
C1ORF21	C1ORF21	0.71862319156743
SNORA53	SNORA53	0.718556225251627
HS.529499	HS.529499	0.718499829428748
LOC647649	LOC647649	0.718324502032697
ACHE	ACHE	0.718215299989669
LOC651125	LOC651125	0.718112830609713
LOC100132146	LOC100132146	0.718004500415595
CACNA1D	CACNA1D	0.717930412824347
LOC727929	LOC727929	0.717862414936475
HS.333045	HS.333045	0.717419487372582
LOC647541	LOC647541	0.717408815789399
LOC651905	LOC651905	0.717119751032089
HPCA	HPCA	0.716985462358225
BLOC1S3	BLOC1S3	0.716692094746473
LOC100131647	LOC100131647	0.716104984509752
FLJ35785	FLJ35785	0.715754844513939
TTTY7	TTTY7	0.715624157658858
ITGA7	ITGA7	0.715599411622456
LIX1	LIX1	0.715534509512025
TMEM128	TMEM128	0.715513142596992
HS.61208	HS.61208	0.714965061158521
CPOX	CPOX	0.714420852311175
LOC100132296	LOC100132296	0.714048927495365
HORMAD2	HORMAD2	0.713492127985133
PRC1	PRC1	0.713488592801102
CDC2	CDC2	0.713239676332284
HS.545644	HS.545644	0.713182074331344
LOC100133752	LOC100133752	0.712915530413822
GNAT3	GNAT3	0.712836749339768
HAP1	HAP1	0.712609715233731
LOC651427	LOC651427	0.712158753977669
CCL4L2	CCL4L2	0.712149309596825
TTTY16	TTTY16	0.712085579467543
LOC647176	LOC647176	0.711876032812843
GRHPR	GRHPR	0.711815664292443
C16ORF81	C16ORF81	0.711422730523037
LOC344328	LOC344328	0.711004116330927
LOC649770	LOC649770	0.710925193670107
PWRN1	PWRN1	0.7103124903011
LOC647919	LOC647919	0.709883932195052
PI15	PI15	0.709823017151005
LOC100129489	LOC100129489	0.709792967661882
LOC400352	LOC400352	0.709649183704972
MATK	MATK	0.709543772351296
PDE6A	PDE6A	0.708906199647503
SYTL2	SYTL2	0.707924758059119
LENG9	LENG9	0.707864912955799
OR52M1	OR52M1	0.707854944582156
RGPD5	RGPD5	0.707551429290217
HS.564673	HS.564673	0.70749942988799
CPAMD8	CPAMD8	0.707353049152084
KIF22	KIF22	0.707317373563926
LOC653527	LOC653527	0.707295605780092
ZNF354A	ZNF354A	0.707225000333956
OPN4	OPN4	0.707149961702927
LOC644484	LOC644484	0.707037083713699
ABCA8	ABCA8	0.706824755218794
STAP2	STAP2	0.706392124751292
LOC728774	LOC728774	0.706305598075895
STRAP	STRAP	0.705732251813457
FLJ16323	FLJ16323	0.705475574802894
DHX15	DHX15	0.705380231670915
ENPP4	ENPP4	0.705360143919822
CD177	CD177	0.704808960392693
PCTK3	PCTK3	0.7047242087471
HS.58896	HS.58896	0.70445866565094
LOC100129195	LOC100129195	0.704353331704146
HS.122053	HS.122053	0.704216613814529
SOX11	SOX11	0.704120545894572
HS.552917	HS.552917	0.704016887081369
LOC652242	LOC652242	0.704001196370479
PDGFD	PDGFD	0.703992359848075
LOC644538	LOC644538	0.703982377967736
LOC729159	LOC729159	0.70391150508044
LOC100134436	LOC100134436	0.703088414207219
DEFB116	DEFB116	0.702861929348138
INA	INA	0.702601127078215
SLC9A3	SLC9A3	0.701942042043624
LOC100132649	LOC100132649	0.701891057764015
OR56A3	OR56A3	0.701756579644891
LOC653882	LOC653882	0.701618534714402
LOC642685	LOC642685	0.701579086139617
LOC154860	LOC154860	0.701008836391959
CDC7	CDC7	0.700854167557943
LOC648792	LOC648792	0.700586385782774
TTC19	TTC19	0.700180961521718
CEP97	CEP97	0.699967659342243
LOC100129365	LOC100129365	0.699934642444407
SLTM	SLTM	0.699889586408326
LOC729985	LOC729985	0.699866269995297
DKFZP761O2018	DKFZP761O2018	0.699450782314768
C21ORF114	C21ORF114	0.698733822798673
LOC728143	LOC728143	0.698666750542831
HS.565338	HS.565338	0.698665567194754
UBTFL5	UBTFL5	0.698474989319749
SOX2OT	SOX2OT	0.698349441818371
HBZ	HBZ	0.698333731859549
LOC139735	LOC139735	0.698169547631377
HS.543196	HS.543196	0.698122045084613
FNTB	FNTB	0.698113972336308
MIR325	MIR325	0.697892159468671
EXOSC8	EXOSC8	0.697470554872776
KIAA0773	KIAA0773	0.697209528968908
LOC653645	LOC653645	0.697132775010723
ASPHD1	ASPHD1	0.697034475600261
KCNE2	KCNE2	0.696568710678397
MIR1.2	MIR1.2	0.696327262240398
LOC646836	LOC646836	0.696236162452616
RPS8	RPS8	0.695984383595229
LOC649974	LOC649974	0.695871385597033
LOC645277	LOC645277	0.695559355921792
RAB26	RAB26	0.695361156024829
KRT17	KRT17	0.695151974476745
PYHIN1	PYHIN1	0.69463474627615
LOC643475	LOC643475	0.694494526153004
ZFYVE9	ZFYVE9	0.69438588905935
LOC644922	LOC644922	0.694307616883696
LPHN2	LPHN2	0.693922182395772
HS.542983	HS.542983	0.693778435624926
HS.201719	HS.201719	0.693658404369551
IFT81	IFT81	0.69274801599
GHR	GHR	0.692458125559005
HSPCAL3	HSPCAL3	0.69237456909047
LOC157627	LOC157627	0.692333545409656
HS.581197	HS.581197	0.692331539284897
TMEM9B	TMEM9B	0.691697179679337
B3GNT3	B3GNT3	0.690879468133845
COLQ	COLQ	0.690553230025667
C5ORF48	C5ORF48	0.690235568302148
COMMD2	COMMD2	0.69018572449535
LOC649921	LOC649921	0.689851623142331
PPP2R2B	PPP2R2B	0.689301059729029
HS.120837	HS.120837	0.689235808739918
ODF2L	ODF2L	0.689191839630463
C13ORF31	C13ORF31	0.689116914655963
CDADC1	CDADC1	0.688883983125163
VARS2	VARS2	0.688877770927784
HS.561432	HS.561432	0.688670329617309
SMEK2	SMEK2	0.68857857624255
HS.570977	HS.570977	0.687936356300859
LOC100130264	LOC100130264	0.68774033997027
IQUB	IQUB	0.687739213700503
CMC1	CMC1	0.687729374922186
RB1CC1	RB1CC1	0.687635691460414
DUSP2	DUSP2	0.687608574866809
HS.539385	HS.539385	0.687604508167565
LOC440131	LOC440131	0.687233996883622
NPC1L1	NPC1L1	0.68709932354306
LOC648039	LOC648039	0.686797418010119
LOC651314	LOC651314	0.686771164425234
HS.572238	HS.572238	0.686326597933555
LOC652877	LOC652877	0.68632168119646
DYNC1I1	DYNC1I1	0.686135546744932
LOC653630	LOC653630	0.686035290206065
CC2D1A	CC2D1A	0.685657401230611
LOC643253	LOC643253	0.685288217986
HS.269535	HS.269535	0.684860653586836
LOC100130328	LOC100130328	0.684710061263815
LOC387882	LOC387882	0.684694863483322
HS.563550	HS.563550	0.684673623596704
ASPA	ASPA	0.684607969273185
IFNA6	IFNA6	0.684036294246999
CLDN11	CLDN11	0.683849511446143
HS.559860	HS.559860	0.683782288165716
LIN28	LIN28	0.683619079839617
C15ORF21	C15ORF21	0.683441975071009
LOC652595	LOC652595	0.683328880713419
TMEM176B	TMEM176B	0.683229420138097
DZIP1	DZIP1	0.683119750688629
ZNF268	ZNF268	0.683066156628626
LOC100131880	LOC100131880	0.682984519659655
LOC100133993	LOC100133993	0.682954980533532
LBX2	LBX2	0.682327674415121
SPRY4	SPRY4	0.682240721074417
LOC731511	LOC731511	0.682204107683627
AADACL3	AADACL3	0.682167798909043
CCDC69	CCDC69	0.682090499484753
LOC149351	LOC149351	0.681797544137201
CORO2B	CORO2B	0.681785452873352
HS.568294	HS.568294	0.681761591738816
C10ORF41	C10ORF41	0.681699624798843
KLRC4	KLRC4	0.681672558024243
LOC653887	LOC653887	0.681477956872323
LOC643216	LOC643216	0.681333229326426
LOC644707	LOC644707	0.681253673809713
LOC554223	LOC554223	0.681233779053315
HS.544233	HS.544233	0.681008697065195
SLC25A33	SLC25A33	0.680573024631801
SOCS4	SOCS4	0.680338710419956
MIR655	MIR655	0.680295684930849
HS.405877	HS.405877	0.680263164202303
HS.7023	HS.7023	0.67993026678867
HS.196849	HS.196849	0.679615819769173
CTH	CTH	0.679359099170094
HS.561422	HS.561422	0.679143265630614
LOC727942	LOC727942	0.679137188562352
NPFF	NPFF	0.678923193452823
SPINLW1	SPINLW1	0.678833658232015
HS.571536	HS.571536	0.678777557491084
MACROD2	MACROD2	0.678544961304801
C21ORF130	C21ORF130	0.67827676889449
LOC644087	LOC644087	0.678041640312755
GABARAP	GABARAP	0.677909968315325
SUV39H1	SUV39H1	0.677866403977532
LOC728224	LOC728224	0.677644542938158
ART5	ART5	0.677608314163864
LOC646932	LOC646932	0.677378438036797
DCTN2	DCTN2	0.677138079121539
LOC648718	LOC648718	0.677127495322364
LOC441320	LOC441320	0.676955183156782
NPW	NPW	0.676669437542449
PDXK	PDXK	0.676638740976949
LOC346329	LOC346329	0.676515800950337
LOC642354	LOC642354	0.676461530959507
LOC100133075	LOC100133075	0.676432507340754
HCG9	HCG9	0.676220943699226
MT1B	MT1B	0.675166830288349
SHISA3	SHISA3	0.674521807718643
CTNND2	CTNND2	0.674160256630768
FLJ39739	FLJ39739	0.67374373698733
RORA	RORA	0.673730033081548
LOC649023	LOC649023	0.673404073324486
LOC100132702	LOC100132702	0.673403752201398
RPL39L	RPL39L	0.673298032363213
SDCBP2	SDCBP2	0.673256041071313
HS.571181	HS.571181	0.673057580444095
MGC102966	MGC102966	0.672820115356105
EYA4	EYA4	0.672408385475645
NDUFB10	NDUFB10	0.672271541143194
C20ORF118	C20ORF118	0.672265277708256
LOC653313	LOC653313	0.672248489682679
LOC732156	LOC732156	0.671880579129179
LOC647783	LOC647783	0.671445861596863
LOC100134320	LOC100134320	0.671149801176367
HS.112955	HS.112955	0.670767087326923
PRSS23	PRSS23	0.670688311975579
FLJ37396	FLJ37396	0.670364751501542
HS.374278	HS.374278	0.67024702859895
SNORD30	SNORD30	0.670210799291751
SLC2A13	SLC2A13	0.670146467213816
LOC439951	LOC439951	0.67006130270399
HS.444193	HS.444193	0.669775479802428
C17ORF73	C17ORF73	0.669650374415787
FRMD8	FRMD8	0.669603552234404
AK3	AK3	0.669482156628835
TP73L	TP73L	0.669199260404862
LYG2	LYG2	0.668976820099836
HS.538103	HS.538103	0.668910834998319
LOC100128100	LOC100128100	0.668867225223702
LOC647854	LOC647854	0.668523904733655
LOC652094	LOC652094	0.668481882396691
GJD3	GJD3	0.668409630952051
MIR670	MIR670	0.668251874359988
LOC100130882	LOC100130882	0.668124323571634
ZNF221	ZNF221	0.667812832666421
STK39	STK39	0.667800836317812
LOC649944	LOC649944	0.667700358732529
FYN	FYN	0.667355824139617
LOC647748	LOC647748	0.667254134489393
S100A2	S100A2	0.667157804285986
HS.565487	HS.565487	0.667086192356136
S100PBP	S100PBP	0.666700630300131
LOC100134041	LOC100134041	0.666677166642358
HS.17661	HS.17661	0.666395995580907
LOC646162	LOC646162	0.66620266345813
DDX53	DDX53	0.666182108139686
C20ORF144	C20ORF144	0.665958453205987
HS.549631	HS.549631	0.665695745297727
HS.575038	HS.575038	0.665689231163085
HS.541726	HS.541726	0.665596774788791
OR2M7	OR2M7	0.665517103136895
HS.130155	HS.130155	0.665279040075886
BZRPL1	BZRPL1	0.665269957057658
LOC642154	LOC642154	0.665173990643495
KIAA0528	KIAA0528	0.664944253228456
FAM53B	FAM53B	0.664760489920049
LOC652707	LOC652707	0.664729474611778
LOC727752	LOC727752	0.664359074435454
OR7A10	OR7A10	0.664270052082133
CEACAM21	CEACAM21	0.664258424399057
LOC399937	LOC399937	0.663741820500615
LOC651659	LOC651659	0.663630659112081
LOC651515	LOC651515	0.66331965579429
HS.541605	HS.541605	0.663016446125215
LOC100132552	LOC100132552	0.662908345324483
LOC100129165	LOC100129165	0.662696237161957
HS.112893	HS.112893	0.662605674982872
LOC646796	LOC646796	0.662494857162163
DPCR1	DPCR1	0.662316125879194
LOC732446	LOC732446	0.662193751016428
LOC645238	LOC645238	0.662085688835005
LOC100133459	LOC100133459	0.661854711915792
ZNF835	ZNF835	0.661723083811438
LOC728307	LOC728307	0.661371373017429
MFN1	MFN1	0.660922320733167
EPHA4	EPHA4	0.660576449611942
HS.545716	HS.545716	0.660361659053061
AKAP4	AKAP4	0.660240882841639
LOC100132425	LOC100132425	0.660207297244737
LOC649542	LOC649542	0.660201808439607
LOC728211	LOC728211	0.659833378589003
C16ORF75	C16ORF75	0.659657987103305
LOC643950	LOC643950	0.659333932146896
KIAA1704	KIAA1704	0.659051310991906
PCDHB7	PCDHB7	0.658916351700195
HS.393308	HS.393308	0.658914583251209
LOC645293	LOC645293	0.658912444561783
LPPR4	LPPR4	0.658906104631006
MIR31	MIR31	0.658846871576379
LOC728835	LOC728835	0.658840480489163
FLJ46836	FLJ46836	0.658809157385813
MIR579	MIR579	0.658800462077412
RIC8B	RIC8B	0.658715924266417
SIX2	SIX2	0.657911989083697
HS.542954	HS.542954	0.657758256040278
C8ORF74	C8ORF74	0.65755357591814
MIR653	MIR653	0.657398013861708
FLJ44216	FLJ44216	0.65722548166333
RAB2A	RAB2A	0.656968806686916
OR3A2	OR3A2	0.656836685276009
SORCS3	SORCS3	0.656822271989592
MEPCE	MEPCE	0.656687207996279
SNORD5	SNORD5	0.656510651243481
FAM123A	FAM123A	0.656399050963146
LOC651830	LOC651830	0.655594131848101
C6ORF203	C6ORF203	0.655304195988445
LOC653786	LOC653786	0.655284447138259
LOC644001	LOC644001	0.655134342028624
SPINK5L3	SPINK5L3	0.655026282174461
LOC644586	LOC644586	0.654835697438164
CCL24	CCL24	0.654573950649123
CLDN24	CLDN24	0.654465632663986
LOC149069	LOC149069	0.654437582521362
GLTPD2	GLTPD2	0.654171254608245
LOC387941	LOC387941	0.654025771461481
DBF4	DBF4	0.653989937255374
TMEM225	TMEM225	0.65386578785104
LOC390570	LOC390570	0.653827624907591
ZNF696	ZNF696	0.653749328042276
PPP1R12B	PPP1R12B	0.653526814704411
HS.540976	HS.540976	0.65351093154146
LOC401284	LOC401284	0.653500244725464
LOC100128244	LOC100128244	0.653422883238795
LOC652678	LOC652678	0.653332282110232
IRS4	IRS4	0.653241376223213
LOC100133446	LOC100133446	0.652754454435133
LOC649296	LOC649296	0.652697237737462
C1ORF94	C1ORF94	0.652456901385217
ST8SIA1	ST8SIA1	0.652393866799514
WEE1	WEE1	0.652346123135411
OR2B3P	OR2B3P	0.652253890089983
KPNA5	KPNA5	0.652170546759862
MIR1321	MIR1321	0.651991840300099
LOC642978	LOC642978	0.651679711100969
HS.371339	HS.371339	0.651468487831778
LOC283050	LOC283050	0.651049802998529
SNORD113.1	SNORD113.1	0.650472829647543
LOC100134539	LOC100134539	0.650272816522235
HS.583413	HS.583413	0.649778044325439
LOC653564	LOC653564	0.649728985458431
KIAA0427	KIAA0427	0.649681891155495
SNORA16B	SNORA16B	0.649615567786385
LOC644057	LOC644057	0.649225581889927
ZNF227	ZNF227	0.6491798233216
FGA	FGA	0.648786356137477
LOC100129951	LOC100129951	0.648773311291991
KCNC2	KCNC2	0.648698979678407
DGCR5	DGCR5	0.648616292245932
DCLRE1B	DCLRE1B	0.648605845821049
FAM18A	FAM18A	0.648527189546288
LOC643825	LOC643825	0.648492716752802
HS.541801	HS.541801	0.648486865837253
ADRB2	ADRB2	0.648426049493405
LOC100131941	LOC100131941	0.648364556924532
SNORA79	SNORA79	0.648323184536934
TNP2	TNP2	0.648147955669336
KDM4D	KDM4D	0.648067148446771
HS.121203	HS.121203	0.648044166546382
EGR4	EGR4	0.647755004857833
AHNAK	AHNAK	0.647724172500843
PDYN	PDYN	0.647601287736645
NCAPD2	NCAPD2	0.647454590206091
ATP6V0A2	ATP6V0A2	0.647430491116433
CLIC5	CLIC5	0.64708942308178
LOC440589	LOC440589	0.646571474823888
MIR148B	MIR148B	0.64649690901739
RBMY2EP	RBMY2EP	0.646364813373416
LOC100129857	LOC100129857	0.646111399574038
LOC652209	LOC652209	0.645701351842544
FBXO2	FBXO2	0.645405453470215
LIG4	LIG4	0.645402139305455
UPK1B	UPK1B	0.645351914764704
RUSC1	RUSC1	0.645108082196118
SC5DL	SC5DL	0.644436682003255
LOC642666	LOC642666	0.644379024159711
ZNF630	ZNF630	0.644371458579936
LOC389888	LOC389888	0.644112247037064
HS.562197	HS.562197	0.643522419705073
PNLIPRP1	PNLIPRP1	0.643330177602484
HS.197017	HS.197017	0.643272218951081
TMEM68	TMEM68	0.643022155794997
HS.441813	HS.441813	0.642995263955168
FAM108A1	FAM108A1	0.642887646747176
CIB1	CIB1	0.642828395344909
LOC100133205	LOC100133205	0.642584591475098
LOC653047	LOC653047	0.642550425933387
LOC643225	LOC643225	0.642491060251141
PARM1	PARM1	0.642331222514237
CAPN8	CAPN8	0.642119993103537
LOC648274	LOC648274	0.642034020725349
GSX1	GSX1	0.641931962729347
LOC652762	LOC652762	0.641673228430568
MCM9	MCM9	0.641624912421274
MVD	MVD	0.641546541167275
LOC644097	LOC644097	0.641392175016674
HS.128032	HS.128032	0.641367919318047
MIA	MIA	0.641292168238057
KLF5	KLF5	0.641291126145799
CTLA4	CTLA4	0.641116091672555
HS.549966	HS.549966	0.641037251452008
RNF126	RNF126	0.640999165516259
LOC441362	LOC441362	0.640841110328488
HS.575725	HS.575725	0.640834122491394
C11ORF45	C11ORF45	0.640711630902611
HS.568837	HS.568837	0.64064248403078
LOC644496	LOC644496	0.640454113110202
LOC100134236	LOC100134236	0.640263976686509
DDR1	DDR1	0.639924390754771
HS.551138	HS.551138	0.639791853628111
CD8A	CD8A	0.639422482739246
HS.370423	HS.370423	0.639043729953164
FABP5L2	FABP5L2	0.639007920813325
POP7	POP7	0.638957241772498
FAM125A	FAM125A	0.638823271018778
LOC727918	LOC727918	0.638698437408704
LOC389813	LOC389813	0.638402782769446
LOC100133761	LOC100133761	0.638159409302965
MIR1202	MIR1202	0.638090858122815
TRK1	TRK1	0.637993008454438
GPR3	GPR3	0.637887862037994
HS.333703	HS.333703	0.637444077752441
LOC652607	LOC652607	0.637246258933858
HS.253646	HS.253646	0.637215398169777
ADCY2	ADCY2	0.636778015316591
HS.576473	HS.576473	0.636739275123471
PTGDR	PTGDR	0.636452878958082
FCRL3	FCRL3	0.635661307273117
LOC441177	LOC441177	0.635544212672257
ANAPC1	ANAPC1	0.635219554471432
HS.126889	HS.126889	0.635194266975783
LOC100133915	LOC100133915	0.63513173598257
TIPARP	TIPARP	0.634658461997616
LOC646156	LOC646156	0.634450200120938
LOC728850	LOC728850	0.634234764966112
LOC645113	LOC645113	0.634084131995481
C8ORF17	C8ORF17	0.634026254554132
AKR1E2	AKR1E2	0.633893561842987
IFRD2	IFRD2	0.633487128546436
DNMBP	DNMBP	0.633394385325391
